,RPS,흡입 구조,Case Bracket 높이,Real - 1,12.5
213,88,0,14,6,-1
214,90,0,14,6,-4
215,92,0,14,6,-2
216,94,0,14,6,-2
217,34,1,25,7,-5
218,36,1,25,7,-6
219,38,1,25,7,-6
220,40,1,25,7,-5
221,42,1,25,7,-3
222,44,1,25,7,-3
223,46,1,25,7,-6
224,48,1,25,7,-4
225,50,1,25,7,-5
226,52,1,25,7,-6
227,54,1,25,7,-5
228,56,1,25,7,-4
229,58,1,25,7,-5
230,60,1,25,7,-6
231,62,1,25,7,-5
232,64,1,25,7,-4
233,66,1,25,7,-3
234,68,1,25,7,-3
235,70,1,25,7,-5
236,72,1,25,7,-5
237,74,1,25,7,-3
238,76,1,25,7,-4
239,78,1,25,7,-3
240,80,1,25,7,-3
241,82,1,25,7,-5
242,84,1,25,7,-5
243,86,1,25,7,-4
244,88,1,25,7,-5
245,90,1,25,7,-3
246,92,1,25,7,-1
247,94,1,25,7,-7
248,34,1,21,8,-6
249,36,1,21,8,-4
250,38,1,21,8,-3
251,40,1,21,8,-5
252,42,1,21,8,-5
253,44,1,21,8,-6
254,46,1,21,8,-4
255,48,1,21,8,-4
256,50,1,21,8,-5
257,52,1,21,8,-6
258,54,1,21,8,-6
259,56,1,21,8,-6
260,58,1,21,8,-7
261,60,1,21,8,-7
262,62,1,21,8,-7
263,64,1,21,8,-6
264,66,1,21,8,-6
265,68,1,21,8,-7
266,70,1,21,8,-5
267,72,1,21,8,-5
268,74,1,21,8,-4
269,76,1,21,8,-6
270,78,1,21,8,-4
271,80,1,21,8,-6
272,82,1,21,8,-5
273,84,1,21,8,-6
274,86,1,21,8,-5
275,88,1,21,8,-4
276,90,1,21,8,-4
277,92,1,21,8,-7
278,94,1,21,8,-5
279,34,1,25,9,-5
280,36,1,25,9,-3
281,38,1,25,9,-4
282,40,1,25,9,-2
283,42,1,25,9,-4
284,44,1,25,9,-5
285,46,1,25,9,-4
286,48,1,25,9,-3
287,50,1,25,9,-4
288,52,1,25,9,-3
289,54,1,25,9,-3
290,56,1,25,9,-3
291,58,1,25,9,-6
292,60,1,25,9,-4
293,62,1,25,9,-5
294,64,1,25,9,-3
295,66,1,25,9,-3
296,68,1,25,9,-3
297,70,1,25,9,-5
298,72,1,25,9,-4
299,74,1,25,9,-2
300,76,1,25,9,-2
301,78,1,25,9,-2
302,80,1,25,9,-2
303,82,1,25,9,-3
304,84,1,25,9,-3
305,86,1,25,9,-5
306,88,1,25,9,-4
307,90,1,25,9,-3
308,92,1,25,9,-6
309,94,1,25,9,-3
310,34,1,25,10,-3
311,36,1,25,10,-2
312,38,1,25,10,-4
313,40,1,25,10,-3
314,42,1,25,10,-3
315,44,1,25,10,-2
316,46,1,25,10,-5
317,48,1,25,10,-3
318,50,1,25,10,-3
319,52,1,25,10,-3
320,54,1,25,10,-3
321,56,1,25,10,-3
322,58,1,25,10,-2
323,60,1,25,10,-2
324,62,1,25,10,-2
325,64,1,25,10,-3
326,66,1,25,10,-4
327,68,1,25,10,-2
328,70,1,25,10,-4
329,72,1,25,10,-4
330,74,1,25,10,-2
331,76,1,25,10,-4
332,78,1,25,10,-5
333,80,1,25,10,-3
334,82,1,25,10,-3
335,84,1,25,10,-5
336,86,1,25,10,-3
337,88,1,25,10,-5
338,90,1,25,10,-3
339,92,1,25,10,-4
340,94,1,25,10,-6
